CMIP6 Compund Name,CF Standard Name,Physical Parameter,Units,Title,Description
3hr.evspsblsoi,water_evaporation_flux_from_soil,evspsblsoi,kg m-2 s-1,Water evaporation from soil,Water evaporation from soil
3hr.evspsblveg,water_evaporation_flux_from_canopy,evspsblveg,kg m-2 s-1,Evaporation from canopy,Evaporation from canopy
3hr.hfdsl,surface_downward_heat_flux_in_air,hfdsl,W m-2,Ground heat flux at 3hr,Ground heat flux at 3hr
3hr.mrro,runoff_flux,mrro,kg m-2 s-1,Total Runoff,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell, averaged over the 3-hour interval."
3hr.mrros,surface_runoff_flux,mrros,kg m-2 s-1,Surface Runoff,surface_runoff_flux
3hr.mrso100,mass_content_of_water_in_soil_layer,mrso100,kg m-2,Soil moisture in the top 1 m of the soil column,Soil moisture at 3hr but for 0-1m
3hr.mrsos,mass_content_of_water_in_soil_layer,mrsos,kg m-2,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.
3hr.srfrad,surface_net_downward_radiative_flux,srfrad,W m-2,Net radiative flux at surface,Net radiative flux at surface
3hr.tran,transpiration_flux,tran,kg m-2 s-1,Transpiration,Transpiration
3hr.tslsi,surface_temperature,tslsi,K,Surface Temperature Where Land or Sea Ice,"Surface temperature of all surfaces except open ocean, sampled synoptically."
E1hr.tas,air_temperature,tas,K,Hourly Temperature at Surface,Hourly Temperature at 2m above the surface
E1hr.tasSouth30,air_temperature,tas,K,Hourly Temperature at Surface,Hourly Temperature at 2m above the surface
Eday.dcw,change_over_time_in_canopy_water_amount,dcw,kg m-2,Change in Interception Storage,change_over_time_in_canopy_water_amount
Eday.dgw,change_over_time_in_groundwater_amount,dgw,kg m-2,Change in Groundwater,change_over_time_in_groundwater
Eday.drivw,change_over_time_in_river_water_amount,drivw,kg m-2,Change in River Storage,Change in River Storage
Eday.dslw,change_over_time_in_mass_content_of_water_in_soil,dslw,kg m-2,Change in Soil Moisture,Change in Soil Moisture
Eday.dsn,change_over_time_in_amount_of_ice_and_snow_on_land,dsn,kg m-2,Change in Snow Water Equivalent,Change in Snow Water Equivalent
Eday.dsw,change_over_time_in_land_water_amount,dsw,kg m-2,Change in Surface Water Storage,Change in Surface Water Storage
Eday.esn,water_evapotranspiration_flux,esn,kg m-2 s-1,Snow Evaporation,The flux due to conversion of liquid or solid water into vapor at the surface where there is snow on land
