CMIP6 Compund Name       CF Standard Name                                                                                                              Physical Parameter Title                                                                                                                             Description
3hr.ficeberg             water_flux_into_sea_water_from_icebergs                                                                                       ficeberg           Water Flux into Sea Water from Icebergs                                                                                           Computed as the iceberg melt water flux into the ocean divided by the area of the ocean portion of the grid cell.
3hr.flandice             water_flux_into_sea_water_from_land_ice                                                                                       flandice           Water Flux into Sea Water from Land Ice                                                                                           Computed as the water flux into the ocean due to land ice (runoff water from surface and base of land ice or melt from base of ice shelf or vertical ice front) into the ocean divided by the area ocean portion of the grid cell.
3hr.friver               water_flux_into_sea_water_from_rivers                                                                                         friver             Water Flux into Sea Water from Rivers                                                                                             Computed as the river flux of water into the ocean divided by the area of the ocean portion of the grid cell.
3hr.hfds                 surface_downward_heat_flux_in_sea_water                                                                                       hfds               Downward Heat Flux at Sea Water Surface                                                                                           Net flux of heat entering the liquid water column through its upper surface (excluding any 'flux adjustment').
3hr.hfrunoffds           temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water                                                          hfrunoffds         Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water                                                              Heat flux associated with liquid water which drains from land. It is calculated relative to the heat that would be transported by runoff water entering the sea at zero degrees Celsius.
3hr.rsntds               net_downward_shortwave_flux_at_sea_water_surface                                                                              rsntds             Net Downward Shortwave Radiation at Sea Water Surface                                                                             The radiative flux into the surface of liquid sea water only. This excludes shortwave flux absorbed by sea ice, but includes any light that passes through the ice and is absorbed by the ocean.
3hr.sfdsi                downward_sea_ice_basal_salt_flux                                                                                              sfdsi              Downward Sea Ice Basal Salt Flux                                                                                                  Basal salt flux into ocean from sea ice. This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.
3hr.tauuo                downward_x_stress_at_sea_water_surface                                                                                        tauuo              Sea Water Surface Downward X Stress                                                                                               The stress on the liquid ocean from interactions with overlying atmosphere, sea ice, ice shelf, etc.
3hr.tauvo                downward_y_stress_at_sea_water_surface                                                                                        tauvo              Sea Water Surface Downward Y Stress                                                                                               The stress on the liquid ocean from interactions with overlying atmosphere, sea ice, ice shelf, etc.
3hr.tos                  sea_surface_temperature                                                                                                       tos                Sea Surface Temperature                                                                                                           temperature of surface of open ocean, sampled synoptically.
3hr.wfo                  water_flux_into_sea_water                                                                                                     wfo                Water Flux into Sea Water                                                                                                         Computed as the water flux into the ocean divided by the area of the ocean portion of the grid cell. This is the sum \*wfonocorr\* and \*wfcorr\*.
3hrPt.mpw                sea_surface_wave_mean_period                                                                                                  mpw                Total Wave Mean Period                                                                                                            Average wave period (i.e., time in-between two wave crests) across the entire two-dimensional wave spectrum, incorporating both wind-sea and swell waves. In spectral wind wave models, it is calculated using spectral moments, mathematical measures that describe the shape and characteristics of the wave spectrum.
3hrPt.mpwswell           sea_surface_swell_wave_mean_period                                                                                            mpwswell           Swell Wave Mean Period                                                                                                            Average wave period (i.e., time in-between two wave crests) of swell waves only (i.e., waves that have propagated away from their generation area). In spectral wind wave models, it is calculated using spectral moments, mathematical measures that describe the shape and characteristics of the wave spectrum.
3hrPt.mpwwindsea         sea_surface_wind_wave_mean_period                                                                                             mpwwindsea         Wind Sea Wave Mean Period                                                                                                         Average wave period (i.e., time in-between two wave crests) of wind-sea waves only (i.e., local wind waves). In spectral wind wave models, it is calculated using spectral moments, mathematical measures that describe the shape and characteristics of the wave spectrum.
3hrPt.sduo               sea_surface_wave_stokes_drift_eastward_velocity                                                                               sduo               Eastward Surface Stokes Drift                                                                                                     The eastward component of the net drift velocity of ocean water caused by surface wind-sea waves. The Stokes drift velocity could be defined as the difference between the average Lagrangian flow velocity of a fluid parcel, and the average Eulerian flow velocity of the fluid at a fixed position.
3hrPt.sdvo               sea_surface_wave_stokes_drift_northward_velocity                                                                              sdvo               Northward Surface Stokes Drift                                                                                                    The northward component of the net drift velocity of ocean water caused by surface wind-sea waves. The Stokes drift velocity could be defined as the difference between the average Lagrangian flow velocity of a fluid parcel, and the average Eulerian flow velocity of the fluid at a fixed position.
3hrPt.swh                sea_surface_wave_significant_height                                                                                           swh                Total Significant Wave Height                                                                                                     Average height of the highest one-third of waves present in the sea state, incorporating both wind-sea and swell waves. This is a key parameter for describing wave energy and is derived from the wave spectrum using spectral moments. Specifically, this parameter is four times the square root of the integral over all directions and all frequencies of the two-dimensional wave spectrum.
3hrPt.swhmax             sea_surface_wave_significant_height                                                                                           swhmax             Maximum Significant Wave Height                                                                                                   Highest value of the significant wave height simulated within a given time range (e.g., daily or monthly). The significant wave height (swh) is derived from the wave spectrum using spectral moments. Specifically, swh is four times the square root of the integral over all directions and all frequencies of the two-dimensional wave spectrum.
3hrPt.swhswell           sea_surface_swell_wave_significant_height                                                                                     swhswell           Swell Significant Wave Height                                                                                                     Average height of the highest one-third of waves present in the sea state, incorporating just swell waves (i.e., waves that have propagated away from their generation area). This parameter is derived from all swell partitions of the wave spectrum using spectral moments. Specifically, this parameter is four times the square root of the integral over all directions and all frequencies of the components of the two-dimensional wave spectrum that are not under the influence of local wind.
3hrPt.swhwindsea         sea_surface_wind_wave_significant_height                                                                                      swhwindsea         Wind Sea Significant Wave Height                                                                                                  Average height of the highest one-third of waves present in the sea state, incorporating just wind-sea waves (i.e., local wind waves). It is derived from the wind-sea wave spectrum using spectral moments. Specifically, this parameter is four times the square root of the integral over all directions and all frequencies of the two-dimensional wind-sea wave spectrum.
3hrPt.wdir               sea_surface_wave_from_direction                                                                                               wdir               Total Wave Direction                                                                                                              Mean direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves. This variable is usually expressed in degrees relative to true north.
3hrPt.wdirswell          sea_surface_swell_wave_from_direction                                                                                         wdirswell          Swell Wave Direction                                                                                                              Mean direction of wave propagation (direction from which the wave is coming) derived from the swell component of the wave energy spectrum (i.e., waves that have propagated away from their generation area). This variable is usually expressed in degrees relative to true north.
3hrPt.wdirwindsea        sea_surface_wind_wave_from_direction                                                                                          wdirwindsea        Sea Wave Direction                                                                                                                Mean direction of wave propagation (direction from which the wave is coming) derived from the wind-sea component of the wave energy spectrum (i.e., local wind waves). This variable is usually expressed in degrees relative to true north.
3hrPt.wpdir              sea_surface_wave_from_direction_at_variance_spectral_density_maximum                                                          wpdir              Total Peak Wave Direction                                                                                                         Direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves, by identifying the direction associated with the peak (maximum) energy density. This variable is usually expressed in degrees relative to true north.
3hrPt.wpdirswell         sea_surface_swell_wave_from_direction_at_variance_spectral_density_maximum                                                    wpdirswell         Swell Peak Wave Direction                                                                                                         Direction of wave propagation (direction from which the wave is coming) derived from the swell component of the wave energy spectrum (i.e., waves that have propagated away from their generation area), by identifying the direction associated with the peak (maximum) energy density. This variable is typically expressed in degrees relative to true north.
3hrPt.wpdirwindsea       sea_surface_wind_wave_from_direction_at_variance_spectral_density_maximum                                                     wpdirwindsea       Wind Sea Peak Wave Direction                                                                                                      Direction of wave propagation (direction from which the wave is coming) derived from the wind-sea component of the wave energy spectrum (i.e., local wind waves), by identifying the direction associated with the peak (maximum) energy density. This variable is typically expressed in degrees relative to true north.
3hrPt.wpp                sea_surface_wave_period_at_variance_spectral_density_maximum                                                                  wpp                Total Wave Peak Period                                                                                                            Wave period associated with the most energetic waves in total wave spectrum, incorporating both wind-sea and swell waves. In spectral wind wave models, this represents the spectral peak across the entire two-dimensional wave spectrum, incorporating both wind-sea and swell waves.
3hrPt.wppswell           sea_surface_swell_wave_period_at_variance_spectral_density_maximum                                                            wppswell           Swell Wave Peak Period                                                                                                            Wave period associated with the most energetic swell waves (i.e., waves that have propagated away from their generation area). In spectral wind wave models, this represents the spectral peak across part of the two-dimensional wave spectrum, incorporating just swell waves.
3hrPt.wppwindsea         sea_surface_wind_wave_period_at_variance_spectral_density_maximum                                                             wppwindsea         Wind Sea Wave Peak Period                                                                                                         Wave period associated with the most energetic wind-sea waves (i.e., local wind waves). In spectral wind wave models, this represents the spectral peak across part of the two-dimensional wave spectrum, incorporating just wind-sea waves.
Eday.mlotst              ocean_mixed_layer_thickness_defined_by_sigma_t                                                                                mlotst             Ocean Mixed Layer Thickness Defined by Delta Sigma T of 0.03 kg m-3 referenced to the model level closest to 10 m depth           Sigma T is potential density referenced to ocean surface. Defined by Sigma T of 0.03 kg m-3 wrt to model level closest to 10 m depth.
Eday.t20d                depth_of_isosurface_of_sea_water_potential_temperature                                                                        t20d               Depth of 20 degree Celsius Isotherm                                                                                               Daily 20C isotherm depth
Emon.dissi14c            mole_concentration_of_dissolved_inorganic_14C_in_sea_water                                                                    dissi14c           Dissolved Inorganic Carbon-14 Concentration                                                                                       Dissolved inorganic carbon-14 (CO3+HCO3+H2CO3) concentration
Emon.expcalc             sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water                                                                 expcalc            Downward Flux of Calcite                                                                                                          Downward flux of Calcite
Emon.flandice            water_flux_into_sea_water_from_land_ice                                                                                       flandice           Water Flux into Sea Water from Land Ice                                                                                           Computed as the water flux into the ocean due to land ice (runoff water from surface and base of land ice or melt from base of ice shelf or vertical ice front) into the ocean divided by the area ocean portion of the grid cell
Emon.osaltpsmadvect      tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_submesoscale_eddy_advection                     osaltpsmadvect     Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection                              Tendency of salt content for a grid cell from parameterized submesoscale eddy advection.
Emon.rsdsoni             surface_downwelling_shortwave_flux_in_air                                                                                     rsdsoni            Surface Downwelling Shortwave Radiation over Ocean Not Covered by Sea Ice                                                         Surface Downwelling Shortwave Radiation over the portion of an ocean grid cell not covered by sea ice. Can be used for computation of surface albedo.
Emon.rsusoni             surface_upwelling_shortwave_flux_in_air                                                                                       rsusoni            Surface Upwelling Shortwave Radiation over Ocean Not Covered by Sea Ice                                                           Surface Upwelling Shortwave Radiation over the portion of an ocean grid cell not covered by sea ice. Can be used for computation of surface albedo.
Emon.sw17O               isotope_ratio_of_17O_to_16O_in_sea_water_excluding_solutes_and_solids                                                         sw17O              Isotopic Ratio of Oxygen-17 in Sea Water                                                                                          Ratio of abundance of oxygen-17 (17O) atoms to oxygen-16 (16O) atoms in sea water
Emon.sw18O               isotope_ratio_of_18O_to_16O_in_sea_water_excluding_solutes_and_solids                                                         sw18O              Isotopic Ratio of Oxygen-18 in Sea Water                                                                                          Ratio of abundance of oxygen-18 (18O) atoms to oxygen-16 (16O) atoms in sea water
Emon.sw2H                isotope_ratio_of_2H_to_1H_in_sea_water_excluding_solutes_and_solids                                                           sw2H               Isotopic Ratio of Deuterium in Sea Water                                                                                          Ratio of abundance of hydrogen-2 (2H) atoms to hydrogen-1 (1H) atoms in sea water
Emon.t17d                depth_of_isosurface_of_sea_water_potential_temperature                                                                        t17d               Depth of 17 degree Celsius Isotherm                                                                                               Monthly 17C isotherm depth
Emon.t20d                depth_of_isosurface_of_sea_water_potential_temperature                                                                        t20d               Depth of 20 degree Celsius Isotherm                                                                                               Monthly 20C isotherm depth
Emon.thetaot             sea_water_potential_temperature                                                                                               thetaot            Vertically Averaged Sea Water Potential Temperature                                                                               Vertically averaged ocean temperature
Emon.thetaot2000         sea_water_potential_temperature                                                                                               thetaot2000        Depth Average Potential Temperature of Upper 2000m                                                                                Upper 2000m, 2D field
Emon.thetaot300          sea_water_potential_temperature                                                                                               thetaot300         Depth Average Potential Temperature of Upper 300m                                                                                 Upper 300m, 2D field
Emon.thetaot700          sea_water_potential_temperature                                                                                               thetaot700         Depth Average Potential Temperature of Upper 700m                                                                                 Upper 700m, 2D field
Eyr.zfullo               depth_below_geoid                                                                                                             zfullo             Depth Below Geoid of Ocean Layer                                                                                                  Depth below geoid
Oday.bigthetao200        sea_water_conservative_temperature                                                                                            bigthetao          Sea Water Conservative Temperature at 200 meters                                                                                  Diagnostic should be contributed even for models using conservative temperature as prognostic field.
Oday.chl200              mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water                                                     chl                Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water at 200 meters                                     Sum of chlorophyll from all phytoplankton group concentrations. In most models this is equal to chldiat+chlmisc, that is the sum of Diatom Chlorophyll Mass Concentration and Other Phytoplankton Chlorophyll Mass Concentration
Oday.chlos               mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water                                                     chlos              Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water                                           sum of chlorophyll from all phytoplankton group concentrations at the sea surface.  In most models this is equal to chldiat+chlmisc, that is the sum of "Diatom Chlorophyll Mass Concentration" plus "Other Phytoplankton Chlorophyll Mass Concentration"
Oday.co3200              mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water                                                              co3                Carbonate Ion Concentration                                                                                                       Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).
Oday.co3os               mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water                                                              co3os              Surface Carbonate Ion Concentration                                                                                               Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).
Oday.co3satarag200       mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water                           co3satarag         Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water                                               Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.
Oday.co3sataragos        mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water                           co3sataragos       Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water                                       Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.
Oday.detoc               mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water                                                       detoc              Detrital Organic Carbon Concentration                                                                                             sum of detrital organic carbon component concentrations
Oday.dissoc              mole_concentration_of_dissolved_organic_carbon_in_sea_water                                                                   dissoc             Dissolved Organic Carbon Concentration                                                                                            Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit)
