CMIP6 Compund Name       CF Standard Name                                                                              Physical Parameter Title                                                                 Description
SIday.siage              age_of_sea_ice                                                                                siage              Age of Sea Ice                                                        Age of sea ice since its formation in open water.
SIday.siarean            sea_ice_area                                                                                  siarean            Sea-Ice Area North                                                    Total integrated area of sea ice in the Northern Hemisphere (where siconc > 0). Does not include grid cells partially covered by land.
SIday.siareas            sea_ice_area                                                                                  siareas            Sea-Ice Area South                                                    Total integrated area of sea ice in the Southern Hemisphere (where siconc > 0). Does not include grid cells partially covered by land.
SIday.siconc             sea_ice_area_fraction                                                                         siconc             Sea-Ice Area Percentage (Ocean Grid)                                  Percentage of a given grid cell that is covered by sea ice on the ocean grid, independent of the thickness of that ice.
SIday.siconca            sea_ice_area_fraction                                                                         siconca            Sea-Ice Area Percentage (Atmospheric Grid)                            Percentage of a given grid cell that is covered by sea ice on the atmosphere grid, independent of the thickness of that ice.
SIday.siextentn          sea_ice_extent                                                                                siextentn          Sea-Ice Extent North                                                  Total integrated area of all Northern Hemisphere grid cells that are covered by at least 15% areal fraction of sea ice (siconc >= 15). Does not include grid cells partially covered by land.
SIday.siextents          sea_ice_extent                                                                                siextents          Sea-Ice Extent South                                                  Total integrated area of all Southern Hemisphere grid cells that are covered by at least 15% areal fraction of sea ice (siconc >= 15). Does not include grid cells partially covered by land.
SIday.sifb               sea_ice_freeboard                                                                             sifb               Sea-Ice Freeboard                                                     Mean height of sea-ice surface (i.e. snow-ice interface when snow covered) above sea level. This follows the classical definition of freeboard for in situ observations. In the satellite community, sometimes the total height of sea ice and snow above sea level is referred to as freeboard. This can easily be calculated by adding sisnthick to sifb.
SIday.siflcondbot        basal_downward_heat_flux_in_sea_ice                                                           siflcondbot        Net Conductive Heat Flux in Sea Ice at the Base                       Net heat conduction flux at the ice base, i.e. the conductive heat flux from the centre of the lowermost vertical sea-ice grid box to the base of the sea ice (energy flow per sea ice area). Positive for a downward heat flux.
SIday.siflcondtop        surface_downward_heat_flux_in_sea_ice                                                         siflcondtop        Net Conductive Heat Flux in Sea Ice at the Surface                    Net heat conduction flux at the ice surface, i.e. the conductive heat flux from the centre of the uppermost vertical sea-ice grid box to the surface of the sea ice (energy flow per sea ice area). Positive for a downward heat flux.
SIday.sifllattop         surface_downward_latent_heat_flux                                                             sifllattop         Net Latent Heat Flux over Sea Ice                                     Net latent heat flux over sea ice (energy flow per sea ice area). Positive for a downward heat flux.
SIday.sifllwdtop         surface_downwelling_longwave_flux_in_air                                                      sifllwdtop         Downwelling Longwave Flux over Sea Ice                                Downwelling longwave flux from the atmosphere to the sea-ice surface (energy flow per sea ice area). Always positive or zero.
SIday.sifllwutop         surface_upwelling_longwave_flux_in_air                                                        sifllwutop         Upwelling Longwave Flux over Sea Ice                                  Upward longwave flux from the sea-ice surface to the atmosphere (energy flow per sea ice area). Always positive or zero.
SIday.siflsensbot        upward_sea_ice_basal_heat_flux                                                                siflsensbot        Net Upward Sensible Heat Flux under Sea Ice                           Net sensible heat flux under sea ice from or to the ocean (energy flow per sea ice area). Per sign convention, heat from the ocean is counted as negative since it describes an upward heat flux.
SIday.siflsenstop        surface_downward_sensible_heat_flux                                                           siflsenstop        Net Downward Sensible Heat Flux over Sea Ice                          Net sensible heat flux over sea ice (energy flow per sea ice area). Positive for a downward heat flux.
SIday.siflswdbot         downwelling_shortwave_flux_in_sea_water_at_sea_ice_base                                       siflswdbot         Downwelling Shortwave Flux under Sea Ice                              Downwelling shortwave flux underneath sea ice, i.e. the amount of shortwave radiation that penetrates the sea ice and reaches the sea ice-ocean interface (energy flow per sea ice area). Always positive or zero.
SIday.siflswdtop         surface_downwelling_shortwave_flux_in_air                                                     siflswdtop         Downwelling Shortwave Flux over Sea Ice                               Downwelling shortwave flux from the atmosphere to the sea-ice surface (energy flow per sea ice area). Always positive or zero.
SIday.siflswutop         surface_upwelling_shortwave_flux_in_air                                                       siflswutop         Upwelling Shortwave Flux over Sea Ice                                 Upward shortwave flux from the sea-ice surface to the atmosphere (energy flow per sea ice area). Always positive or zero.
